id;title;description;creation_date;status
1;institute crafty;furthermore neglect gosh;2025-07-27T13:54:42;IN_PROGRESS
2;those;undergo backXXXXXXXX;2025-07-27T13:20:31;IN_PROGRESS
3;pepper junior;which yum eekXXXXXXX;2025-07-27T11:26:33;CLOSED
4;famously;inasmuch pearl broadly;2025-07-27T14:12:45;OPEN
5;yowza biodegrade;snoopy inculcateXXXX;2025-07-27T11:10:52;IN_PROGRESS
6;the alongside separately;successfully prickly;2025-07-27T22:48:17;IN_PROGRESS
7;willing jealously progress;hm mmmXXXXXXXXXXXXXX;2025-07-27T05:10:56;CLOSED
8;degenerate sleepily;gadzooks section colossal;2025-07-27T03:08:32;IN_PROGRESS
9;sealX;zealous scaffoldXXXX;2025-07-27T09:32:39;OPEN
10;guidance;meanwhile officially;2025-07-27T12:09:01;CLOSED
